,input,output
0,"Given the question ""What does the man suggest the woman do?"" and the answer ""Continue her dancing class."", write a conversation that might have happened.
","
M: I am considering dropping my dancing class. I am not making any progress.

W: If I were you, I stick with it. It's definitely worth time and effort."
1,"Given the question ""What does the man think of the woman's cooking?"" and the answer ""It's very good indeed."", write a conversation that might have happened.
","
W: Well, I'm afraid my cooking isn't to your taste.

M: Actually, I like it very much.

W: I'm glad you enjoy it. Let me serve you some more fish.

M: No, thank you. I've had enough fish, but I'd like some soup.

W: Here it is. Help yourself!

M: Thanks. I didn't know you were so good at cooking. If only my wife could learn to cook from you.

W: Why not bring your wife next time? I haven't seen her for quite a while.

M: OK, I will. She will be very glad to see you, too. Thank you for the wonderful meal."
2,"Given the question ""What does the woman ask the man to do?"" and the answer ""Bring his wife next time."", write a conversation that might have happened.
","
W: Well, I'm afraid my cooking isn't to your taste.

M: Actually, I like it very much.

W: I'm glad you enjoy it. Let me serve you some more fish.

M: No, thank you. I've had enough fish, but I'd like some soup.

W: Here it is. Help yourself!

M: Thanks. I didn't know you were so good at cooking. If only my wife could learn to cook from you.

W: Why not bring your wife next time? I haven't seen her for quite a while.

M: OK, I will. She will be very glad to see you, too. Thank you for the wonderful meal."
3,"Given the question ""Where are the two persons?"" and the answer ""On the street"", write a conversation that might have happened.
","
M: Look at the girl on the bike!

F: Oh, yes she's really a smart girl."
4,"Given the question ""What does the man want the woman to do?"" and the answer ""To play the piano."", write a conversation that might have happened.
","
M: Can you accompany me while I am singing.

W: I don't play very well, but I will give it a try."
5,"Given the question ""What does the man mean?"" and the answer ""The watch is no longer worth repairing."", write a conversation that might have happened.
","
W: I can't figure out what's wrong with my watch. It was just a month ago that I had it repaired.

M: Don't waste your time and money any more. It's very old watch and it is quite worn out."
6,"Given the question ""Where does the woman work?"" and the answer ""At a TV station."", write a conversation that might have happened.
","
W: Hello, this is TBC Television Studios. How can I help you?

M: Hello. I'm calling because I saw an ad in the campus newspaper. It said you wanted an assistant to work on your local news program.

W: Right. But you do realize that we just need volunteers. It's an unpaid position.

M: Oh, sure. I understand that. I just want to get some experience working for television news production after I get my degree.

W: I see. Well, you'll need to talk to Ms. Black. She is in charge of the program. But first, you'll need to come here to fill out an application form. Can you drop by the studio later today?"
7,"Given the question ""Why is the man applying for this position?"" and the answer ""He wants some working experience."", write a conversation that might have happened.
","
W: Hello, this is TBC Television Studios. How can I help you?

M: Hello. I'm calling because I saw an ad in the campus newspaper. It said you wanted an assistant to work on your local news program.

W: Right. But you do realize that we just need volunteers. It's an unpaid position.

M: Oh, sure. I understand that. I just want to get some experience working for television news production after I get my degree.

W: I see. Well, you'll need to talk to Ms. Black. She is in charge of the program. But first, you'll need to come here to fill out an application form. Can you drop by the studio later today?"
8,"Given the question ""What is the weather like?"" and the answer ""It's cloudy."", write a conversation that might have happened.
","
M: I think it's going to rain.

W: I guess so. The skies are dark and cloudy."
9,"Given the question ""Where are the two speakers?"" and the answer ""In a hotel."", write a conversation that might have happened.
","
W: Front desk. Can I help you?

M: Yeah, hi, this is Room 327. Is your dining room still open?"
10,"Given the question ""What are they talking about?"" and the answer ""A crime."", write a conversation that might have happened.
","
M: When did you first find the door broken and things missing?

W: After I got up, around 5:20. Then I called the police station."
11,"Given the question ""What do you know about the lecture?"" and the answer ""It will start at eight tomorrow morning."", write a conversation that might have happened.
","
F: The lecture will start at three this afternoon, is that right?

M: Well, the plan has changed. The lecture will begin at eight tomorrow morning."
12,"Given the question ""What is the man going to do?"" and the answer ""Go on the Internet."", write a conversation that might have happened.
","
W: I wish I knew the times of the trains to London. But our phone's out of order.

M: Don't worry, Grandma. I'll find out for you on the Internet.

W: Thank you!"
13,"Given the question ""Will the woman turn off the clock?"" and the answer ""No."", write a conversation that might have happened.
","
M: Would you turn off the alarm clock?

W: Dear, but you said you had a meeting to attend at 8:40."
14,"Given the question ""What has Peterson just finished?"" and the answer ""He has just finished his homework."", write a conversation that might have happened.
","
W: Peterson, shall we go and dance?

M: OK. But wait a minute. I've just finished my homework, Let me put it in my desk first."
15,"Given the question ""Why is the girl excited at the beginning of the conversation?"" and the answer ""She has her license and wants to drive now."", write a conversation that might have happened.
","
Daughter: Guess what, Mom. I got it.

Mother: Great. That's super.

Father: What's going on? So, what did you get me?

Daughter: Nothing. I got my driver's license. Okay. Bye.

Father: Wait, wait, wait. Where are you going?

Daughter: Mom said I could take the car to school this morning, and ...

Father: Hold on here. I've prepared a few rules regarding the use of the motor vehicles in this house.

Daughter: Like what?

Father: Let me get my notes here.

Daughter: Dad! That looks like a book? Mom, Dad's being mean to me.

Father: Okay, let me get my reading glasses here. Okay, here we are. Rule number one: No driving with friends for the first six months.

Daughter: What?

Father: Teenagers often lack the judgment to drive responsibly, especially when several teenagers are involved. I mean they speed, they joyride, they cruise around town way past midnight.

Daughter: But that's not me! Do I really need this lecture? This is such a drag!

Father: Furthermore, who really needs a car when a pair of shoes will work? I mean, life was different when I was your age. In fact, I used to walk to school ...

Daughter: Yeah, yeah. I know. Both ways uphill in ten feet of snow. I've heard this story many times.

Father: Yeah. Oh, where were we? Oh yes. Rule number two: You always must wear your seat belt and obey the rules of the road.

Daughter: Duh. I wasn't born yesterday.

Father: Okay, rule number three: You can't drive long distances at night because you might get drowsy and drive off the road. But driving to the movie theater is fine.

Daughter: But the movie theater is right across the street from our house.

Father: Exactly, so you can just park in the driveway and walk there.

Daughter: Mom! Dad's being unreasonable.

Father: And rule number four: You should never use a cell phone while driving. That could cause an accident.

Daughter: But YOU do.

Father: That's different.

Daughter: How's it different? You even need my help to turn your cell phone on.

Father: And rule number five: Remember that I love you,..."
